yardline,down,punting_blk,punting_tot,punting_touchback,puntret_downed,puntret_fair,puntret_oob,puntret_tds,puntret_tot,Field Position
-49,43,0.0,43,0.0,0.0,4.651162790697675,0.0,0.0,72.09302325581395,OWN 1
-48,63,3.278688524590164,61,0.0,0.0,9.836065573770492,0.0,3.278688524590164,73.77049180327869,OWN 2
-47,54,0.0,54,0.0,0.0,5.555555555555555,0.0,0.0,85.18518518518519,OWN 3
-46,63,1.6129032258064515,62,0.0,0.0,11.29032258064516,0.0,0.0,74.19354838709677,OWN 4
-45,116,0.0,116,0.0,0.0,16.379310344827587,0.0,0.8620689655172413,65.51724137931035,OWN 5
-44,130,0.7751937984496124,129,0.0,0.0,10.852713178294573,0.0,2.3255813953488373,68.9922480620155,OWN 6
-43,117,1.7391304347826086,115,0.0,0.0,10.434782608695652,0.0,0.8695652173913043,63.47826086956522,OWN 7
-42,143,0.7042253521126761,142,0.0,0.0,13.380281690140844,0.0,1.4084507042253522,73.23943661971832,OWN 8
-41,178,0.0,178,0.0,0.0,14.606741573033707,0.0,0.0,66.29213483146067,OWN 9
-40,233,0.43103448275862066,232,0.0,0.0,15.517241379310345,0.0,1.293103448275862,68.53448275862068,OWN 10
-39,212,1.9230769230769231,208,0.0,0.0,15.865384615384615,0.0,0.4807692307692308,69.71153846153845,OWN 11
-38,250,0.8064516129032258,248,0.0,0.0,18.951612903225808,0.0,0.8064516129032258,62.096774193548384,OWN 12
-37,252,0.398406374501992,251,0.0,0.0,12.350597609561753,0.0,0.398406374501992,70.5179282868526,OWN 13
-36,311,0.6472491909385114,309,0.0,0.0,15.53398058252427,0.0,0.3236245954692557,66.66666666666666,OWN 14
-35,379,0.26455026455026454,378,0.0,0.0,15.079365079365079,0.0,0.5291005291005291,66.66666666666666,OWN 15
-34,342,1.183431952662722,338,0.2958579881656805,0.0,17.159763313609467,0.0,1.7751479289940828,61.834319526627226,OWN 16
-33,380,0.5291005291005291,378,0.0,0.0,16.137566137566136,0.0,0.7936507936507936,65.34391534391534,OWN 17
-32,397,0.5063291139240507,395,0.0,0.0,16.70886075949367,0.0,0.5063291139240507,64.30379746835443,OWN 18
-31,428,0.9433962264150944,424,0.0,0.0,18.39622641509434,0.0,0.7075471698113208,66.0377358490566,OWN 19
-30,618,0.4878048780487805,615,0.16260162601626016,0.0,16.260162601626014,0.0,0.6504065040650406,66.9918699186992,OWN 20
-29,474,0.423728813559322,472,0.423728813559322,0.0,16.94915254237288,0.0,0.6355932203389831,63.983050847457626,OWN 21
-28,511,0.19607843137254902,510,0.19607843137254902,0.0,16.470588235294116,0.0,0.9803921568627451,64.50980392156863,OWN 22
-27,513,0.3913894324853229,511,0.3913894324853229,0.0,15.068493150684931,0.0,1.1741682974559686,66.92759295499022,OWN 23
-26,554,0.5444646098003629,551,0.18148820326678766,0.0,15.60798548094374,0.0,1.4519056261343013,63.52087114337568,OWN 24
-25,673,0.8995502248875562,667,0.0,0.0,17.541229385307346,0.0,0.8995502248875562,65.96701649175412,OWN 25
-24,607,0.6633499170812603,603,0.33167495854063017,0.0,18.739635157545607,0.0,0.4975124378109453,64.17910447761194,OWN 26
-23,644,0.3115264797507788,642,0.0,0.0,17.91277258566978,0.0,0.46728971962616817,60.59190031152648,OWN 27
-22,693,0.7267441860465116,688,1.308139534883721,0.0,18.313953488372093,0.0,1.308139534883721,60.31976744186046,OWN 28
-21,731,0.6887052341597797,726,0.9641873278236914,0.0,19.421487603305785,0.0,0.6887052341597797,62.396694214876035,OWN 29
-20,587,1.206896551724138,580,0.5172413793103449,0.0,17.75862068965517,0.0,0.6896551724137931,61.03448275862069,OWN 30
-19,490,0.0,490,1.0204081632653061,0.0,16.93877551020408,0.0,1.0204081632653061,60.816326530612244,OWN 31
-18,467,0.8639308855291578,463,1.511879049676026,0.0,19.870410367170628,0.0,0.0,61.98704103671706,OWN 32
-17,550,0.36496350364963503,548,2.9197080291970803,0.0,17.7007299270073,0.0,0.7299270072992701,59.306569343065696,OWN 33
-16,567,1.06951871657754,561,3.9215686274509802,0.0,23.885918003565063,0.0,0.7130124777183601,50.26737967914438,OWN 34
-15,510,0.0,510,3.9215686274509802,0.0,18.43137254901961,0.0,0.7843137254901961,54.70588235294118,OWN 35
-14,451,0.6696428571428571,448,4.464285714285714,0.0,18.75,0.0,0.6696428571428571,55.58035714285714,OWN 36
-13,499,1.4227642276422763,492,5.284552845528456,0.0,22.5609756097561,0.0,0.8130081300813009,52.03252032520326,OWN 37
-12,486,1.25,480,4.791666666666667,0.0,21.666666666666668,0.0,0.0,50.625,OWN 38
-11,526,0.5736137667304015,523,9.94263862332696,0.0,21.988527724665392,0.0,0.0,44.93307839388145,OWN 39
-10,556,0.18018018018018017,555,10.63063063063063,0.0,23.243243243243246,0.0,0.5405405405405406,40.18018018018018,OWN 40
-9,479,1.2684989429175475,473,10.993657505285412,0.0,27.48414376321353,0.0,0.21141649048625794,36.57505285412262,OWN 41
-8,466,0.21505376344086022,465,13.118279569892474,0.0,25.376344086021508,0.0,0.21505376344086022,33.97849462365591,OWN 42
-7,450,0.6711409395973155,447,18.568232662192393,0.0,24.832214765100673,0.0,0.22371364653243847,32.21476510067114,OWN 43
-6,467,0.8639308855291578,463,13.606911447084233,0.0,29.805615550755938,0.0,0.4319654427645789,28.077753779697623,OWN 44
-5,517,0.3883495145631068,515,16.699029126213592,0.0,33.980582524271846,0.0,0.1941747572815534,24.660194174757283,OWN 45
-4,430,0.0,430,15.813953488372093,0.0,33.25581395348837,0.0,0.23255813953488372,25.581395348837212,OWN 46
-3,382,0.79155672823219,379,20.052770448548813,0.0,36.675461741424805,0.0,0.2638522427440633,19.788918205804748,OWN 47
-2,352,0.2849002849002849,351,16.524216524216524,0.0,40.74074074074074,0.0,0.0,16.23931623931624,OWN 48
-1,404,0.0,404,14.356435643564355,0.0,40.84158415841584,0.0,0.24752475247524752,16.33663366336634,OWN 49
0,430,0.2331002331002331,429,16.083916083916083,0.0,43.35664335664335,0.0,0.0,13.51981351981352,MIDFIELD
1,364,0.27548209366391185,363,18.732782369146005,0.0,46.83195592286501,0.0,0.0,7.7134986225895315,OPP 49
2,365,0.8287292817679558,362,18.50828729281768,0.0,44.751381215469614,0.0,0.2762430939226519,9.116022099447514,OPP 48
3,349,0.5763688760806917,347,15.273775216138327,0.0,43.22766570605187,0.0,0.2881844380403458,8.069164265129682,OPP 47
4,337,0.0,337,16.320474777448073,0.0,49.25816023738873,0.0,0.0,7.418397626112759,OPP 46
5,368,0.0,368,18.75,0.0,47.28260869565217,0.0,0.0,6.7934782608695645,OPP 45
6,351,0.2857142857142857,350,19.714285714285715,0.0,47.42857142857143,0.0,0.0,6.2857142857142865,OPP 44
7,290,0.34602076124567477,289,16.608996539792386,0.0,47.75086505190311,0.0,0.0,4.498269896193772,OPP 43
8,300,0.6711409395973155,298,17.114093959731544,0.0,40.939597315436245,0.0,0.0,4.3624161073825505,OPP 42
9,289,0.0,289,21.79930795847751,0.0,37.71626297577855,0.0,0.0,4.498269896193772,OPP 41
10,275,0.0,275,22.181818181818183,0.0,37.09090909090909,0.0,0.0,4.0,OPP 40
11,217,0.0,217,19.81566820276498,0.0,35.944700460829495,0.0,0.0,3.225806451612903,OPP 39
12,179,0.0,179,17.877094972067038,0.0,36.312849162011176,0.0,0.0,2.793296089385475,OPP 38
13,129,0.0,129,20.930232558139537,0.0,28.68217054263566,0.0,0.0,4.651162790697675,OPP 37
14,92,0.0,92,23.91304347826087,0.0,25.0,0.0,0.0,2.1739130434782608,OPP 36
15,51,0.0,51,31.372549019607842,0.0,35.294117647058826,0.0,0.0,1.9607843137254901,OPP 35
16,28,3.7037037037037033,27,33.33333333333333,0.0,22.22222222222222,0.0,0.0,14.814814814814813,OPP 34
17,16,0.0,16,43.75,0.0,31.25,0.0,0.0,0.0,OPP 33
18,13,0.0,13,23.076923076923077,0.0,7.6923076923076925,0.0,0.0,0.0,OPP 32
19,2,0.0,2,0.0,0.0,50.0,0.0,0.0,0.0,OPP 31
20,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,OPP 30
21,2,0.0,2,50.0,0.0,0.0,0.0,0.0,0.0,OPP 29
